entry_name,entry_type,model_type,members,n_features,feature_columns,notes
elasticnet_current,model,elasticnet,,14,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,investment_income_growth_yoy,roe_net_income_ttm,underwriting_income",Current deployed ElasticNet feature set.
ridge_current,model,ridge,,14,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm",Current deployed Ridge feature set.
bayesian_ridge_current,model,bayesian_ridge,,16,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,buyback_yield,buyback_acceleration",Current deployed BayesianRidge feature set.
gbt_current,model,gbt,,11,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy",Current deployed GBT feature set.
ridge_lean_v1,model,ridge,,12,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,npw_growth_yoy",Base v14/v15 Ridge replacement candidate.
gbt_lean_plus_two,model,gbt,,13,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,pif_growth_yoy,investment_book_yield",Base v14/v15 GBT replacement candidate.
ridge_lean_v1__v16,model,ridge,,12,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,book_value_per_share_growth_yoy,npw_growth_yoy",v16 Ridge with book value growth replacing ROE net income TTM.
gbt_lean_plus_two__v16,model,gbt,,13,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,rate_adequacy_gap_yoy,pif_growth_yoy,investment_book_yield",v16 GBT with rate adequacy gap replacing vehicle miles traveled.
ridge_lean_v1__v18,model,ridge,,12,"mom_12m,vol_63d,yield_slope,real_yield_change_6m,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,book_value_per_share_growth_yoy,npw_growth_yoy",v18 Ridge swap: real_yield_change_6m replacing yield_curvature on the v16 Ridge stack.
ridge_lean_v1__v20_value,model,ridge,,12,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,pgr_pe_vs_market_pe,npw_growth_yoy",v20 Ridge valuation swap: pgr_pe_vs_market_pe replacing roe_net_income_ttm.
gbt_lean_plus_two__v18,model,gbt,,13,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,vwo_vxus_spread_6m,credit_spread_hy,nfci,vix,rate_adequacy_gap_yoy,pif_growth_yoy,investment_book_yield",v18 GBT swap: vwo_vxus_spread_6m replacing real_rate_10y on the v16 GBT stack.
gbt_lean_plus_two__v20_usd,model,gbt,,13,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,usd_broad_return_3m,vix,vmt_yoy,pif_growth_yoy,investment_book_yield",v20 GBT macro swap: usd_broad_return_3m replacing nfci.
gbt_lean_plus_two__v20_pricing,model,gbt,,13,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,auto_pricing_power_spread,pif_growth_yoy,investment_book_yield",v20 GBT pricing swap: auto_pricing_power_spread replacing vmt_yoy.
live_production_ensemble_reduced,ensemble,ensemble,"elasticnet_current,ridge_current,bayesian_ridge_current,gbt_current",55,,Current deployed 4-model stack on the reduced forecast universe.
ensemble_ridge_gbt_v16,ensemble,ensemble,"ridge_lean_v1__v16,gbt_lean_plus_two__v16",25,,v16 assembled stack from the first confirmed winning swaps.
ensemble_ridge_gbt_v18,ensemble,ensemble,"ridge_lean_v1__v18,gbt_lean_plus_two__v18",25,,v18 assembled stack from the benchmark-side bias-reduction swaps.
ensemble_ridge_gbt_v20_value,ensemble,ensemble,"ridge_lean_v1__v20_value,gbt_lean_plus_two__v16",25,,v20 valuation-focused stack: best Ridge valuation swap plus the strongest confirmed GBT v16 swap.
ensemble_ridge_gbt_v20_best,ensemble,ensemble,"ridge_lean_v1__v20_value,gbt_lean_plus_two__v18",25,,v20 best-of-confirmed stack: best Ridge valuation swap plus the strongest GBT benchmark-side stack.
ensemble_ridge_gbt_v20_usd,ensemble,ensemble,"ridge_lean_v1__v20_value,gbt_lean_plus_two__v20_usd",25,,v20 macro-focused stack: best Ridge valuation swap plus the best confirmed USD macro GBT swap.
ensemble_ridge_gbt_v20_pricing,ensemble,ensemble,"ridge_lean_v1__v20_value,gbt_lean_plus_two__v20_pricing",25,,v20 pricing-focused stack: best Ridge valuation swap plus the best confirmed GBT pricing-power swap.
