variant,experiment_mode,feature_swaps,feature_columns,notes,horizon_months,model_name,n_obs,fold_count,n_features,brier_score,accuracy,balanced_accuracy,precision,recall,base_rate,predicted_positive_rate,log_loss,baseline_balanced_accuracy,baseline_brier_score,baseline_log_loss,baseline_accuracy,baseline_precision,baseline_recall,delta_balanced_accuracy,delta_brier_score,delta_log_loss,delta_accuracy,delta_precision,delta_recall,clears_x7_gate
x2_core_baseline,replacement,{},mom_3m|mom_6m|mom_12m|vol_63d|high_52w|pb_ratio|roe_net_income_ttm|combined_ratio_ttm|monthly_combined_ratio_delta|pif_growth_yoy|gainshare_est|book_value_per_share_growth_yoy|buyback_yield|unrealized_gain_pct_equity|yield_slope|real_rate_10y|credit_spread_hy|vix|pgr_vs_peers_6m|pgr_vs_vfh_6m,Existing x2 conservative feature set.,1,logistic_l2_balanced,252,42,20,0.35882451962664935,0.5277777777777778,0.5337085757652416,0.5728155339805825,0.44029850746268656,0.5317460317460317,0.4087301587301587,1.4951112684029524,0.5337085757652416,0.35882451962664935,1.4951112684029524,0.5277777777777778,0.5728155339805825,0.44029850746268656,0.0,0.0,0.0,0.0,0.0,0.0,False
ta_minimal_replacement,replacement,"{""mom_12m"": ""ta_pgr_obv_detrended"", ""vol_63d"": ""ta_pgr_natr_63d""}",mom_3m|mom_6m|ta_pgr_obv_detrended|ta_pgr_natr_63d|high_52w|pb_ratio|roe_net_income_ttm|combined_ratio_ttm|monthly_combined_ratio_delta|pif_growth_yoy|gainshare_est|book_value_per_share_growth_yoy|buyback_yield|unrealized_gain_pct_equity|yield_slope|real_rate_10y|credit_spread_hy|vix|pgr_vs_peers_6m|pgr_vs_vfh_6m,v164 minimal OBV/NATR replacement candidate.,1,logistic_l2_balanced,252,42,20,0.3415113701147722,0.5119047619047619,0.517771312926891,0.5533980582524272,0.4253731343283582,0.5317460317460317,0.4087301587301587,1.3572346990644044,0.5337085757652416,0.35882451962664935,1.4951112684029524,0.5277777777777778,0.5728155339805825,0.44029850746268656,-0.015937262838,-0.017313149512,-0.137876569339,-0.015873015873,-0.019417475728,-0.014925373134,False
ta_minimal_plus_vwo_pct_b,replacement,"{""mom_12m"": ""ta_pgr_obv_detrended"", ""vix"": ""ta_ratio_bb_pct_b_6m_vwo"", ""vol_63d"": ""ta_pgr_natr_63d""}",mom_3m|mom_6m|ta_pgr_obv_detrended|ta_pgr_natr_63d|high_52w|pb_ratio|roe_net_income_ttm|combined_ratio_ttm|monthly_combined_ratio_delta|pif_growth_yoy|gainshare_est|book_value_per_share_growth_yoy|buyback_yield|unrealized_gain_pct_equity|yield_slope|real_rate_10y|credit_spread_hy|ta_ratio_bb_pct_b_6m_vwo|pgr_vs_peers_6m|pgr_vs_vfh_6m,Minimal replacement plus one representative VWO Bollinger %B.,1,logistic_l2_balanced,252,42,20,0.34455093376840207,0.5238095238095238,0.5239058942575259,0.5555555555555556,0.5223880597014925,0.5317460317460317,0.5,1.4836841141455688,0.5337085757652416,0.35882451962664935,1.4951112684029524,0.5277777777777778,0.5728155339805825,0.44029850746268656,-0.009802681508,-0.014273585858,-0.011427154257,-0.003968253968,-0.017259978425,0.082089552239,False
ta_bollinger_width_probe,replacement,"{""mom_12m"": ""ta_pgr_obv_detrended"", ""vix"": ""ta_ratio_bb_width_6m_voo"", ""vol_63d"": ""ta_pgr_natr_63d""}",mom_3m|mom_6m|ta_pgr_obv_detrended|ta_pgr_natr_63d|high_52w|pb_ratio|roe_net_income_ttm|combined_ratio_ttm|monthly_combined_ratio_delta|pif_growth_yoy|gainshare_est|book_value_per_share_growth_yoy|buyback_yield|unrealized_gain_pct_equity|yield_slope|real_rate_10y|credit_spread_hy|ta_ratio_bb_width_6m_voo|pgr_vs_peers_6m|pgr_vs_vfh_6m,Minimal replacement plus one VOO Bollinger-width probe.,1,logistic_l2_balanced,252,42,20,0.3643803915309292,0.4801587301587302,0.48539084239817865,0.5142857142857142,0.40298507462686567,0.5317460317460317,0.4166666666666667,1.5869988273369215,0.5337085757652416,0.35882451962664935,1.4951112684029524,0.5277777777777778,0.5728155339805825,0.44029850746268656,-0.048317733367,0.005555871904,0.091887558934,-0.047619047619,-0.058529819695,-0.037313432836,False
x2_core_baseline,replacement,{},mom_3m|mom_6m|mom_12m|vol_63d|high_52w|pb_ratio|roe_net_income_ttm|combined_ratio_ttm|monthly_combined_ratio_delta|pif_growth_yoy|gainshare_est|book_value_per_share_growth_yoy|buyback_yield|unrealized_gain_pct_equity|yield_slope|real_rate_10y|credit_spread_hy|vix|pgr_vs_peers_6m|pgr_vs_vfh_6m,Existing x2 conservative feature set.,3,logistic_l2_balanced,246,41,20,0.4142403005316458,0.47560975609756095,0.504375,0.6153846153846154,0.37333333333333335,0.6097560975609756,0.3699186991869919,1.646497361914858,0.504375,0.4142403005316458,1.646497361914858,0.47560975609756095,0.6153846153846154,0.37333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,False
ta_minimal_replacement,replacement,"{""mom_12m"": ""ta_pgr_obv_detrended"", ""vol_63d"": ""ta_pgr_natr_63d""}",mom_3m|mom_6m|ta_pgr_obv_detrended|ta_pgr_natr_63d|high_52w|pb_ratio|roe_net_income_ttm|combined_ratio_ttm|monthly_combined_ratio_delta|pif_growth_yoy|gainshare_est|book_value_per_share_growth_yoy|buyback_yield|unrealized_gain_pct_equity|yield_slope|real_rate_10y|credit_spread_hy|vix|pgr_vs_peers_6m|pgr_vs_vfh_6m,v164 minimal OBV/NATR replacement candidate.,3,logistic_l2_balanced,246,41,20,0.38788070940221375,0.5121951219512195,0.5325,0.6470588235294118,0.44,0.6097560975609756,0.4146341463414634,1.559724121528183,0.504375,0.4142403005316458,1.646497361914858,0.47560975609756095,0.6153846153846154,0.37333333333333335,0.028125,-0.026359591129,-0.086773240387,0.036585365854,0.031674208145,0.066666666667,True
ta_minimal_plus_vwo_pct_b,replacement,"{""mom_12m"": ""ta_pgr_obv_detrended"", ""vix"": ""ta_ratio_bb_pct_b_6m_vwo"", ""vol_63d"": ""ta_pgr_natr_63d""}",mom_3m|mom_6m|ta_pgr_obv_detrended|ta_pgr_natr_63d|high_52w|pb_ratio|roe_net_income_ttm|combined_ratio_ttm|monthly_combined_ratio_delta|pif_growth_yoy|gainshare_est|book_value_per_share_growth_yoy|buyback_yield|unrealized_gain_pct_equity|yield_slope|real_rate_10y|credit_spread_hy|ta_ratio_bb_pct_b_6m_vwo|pgr_vs_peers_6m|pgr_vs_vfh_6m,Minimal replacement plus one representative VWO Bollinger %B.,3,logistic_l2_balanced,246,41,20,0.40743264514058486,0.4959349593495935,0.5172916666666667,0.63,0.42,0.6097560975609756,0.4065040650406504,1.8467829750136415,0.504375,0.4142403005316458,1.646497361914858,0.47560975609756095,0.6153846153846154,0.37333333333333335,0.012916666667,-0.006807655391,0.200285613099,0.020325203252,0.014615384615,0.046666666667,True
ta_bollinger_width_probe,replacement,"{""mom_12m"": ""ta_pgr_obv_detrended"", ""vix"": ""ta_ratio_bb_width_6m_voo"", ""vol_63d"": ""ta_pgr_natr_63d""}",mom_3m|mom_6m|ta_pgr_obv_detrended|ta_pgr_natr_63d|high_52w|pb_ratio|roe_net_income_ttm|combined_ratio_ttm|monthly_combined_ratio_delta|pif_growth_yoy|gainshare_est|book_value_per_share_growth_yoy|buyback_yield|unrealized_gain_pct_equity|yield_slope|real_rate_10y|credit_spread_hy|ta_ratio_bb_width_6m_voo|pgr_vs_peers_6m|pgr_vs_vfh_6m,Minimal replacement plus one VOO Bollinger-width probe.,3,logistic_l2_balanced,246,41,20,0.3826598344003021,0.5040650406504065,0.5202083333333334,0.6320754716981132,0.44666666666666666,0.6097560975609756,0.43089430894308944,1.5780585149980673,0.504375,0.4142403005316458,1.646497361914858,0.47560975609756095,0.6153846153846154,0.37333333333333335,0.015833333333,-0.031580466131,-0.068438846917,0.028455284553,0.016690856313,0.073333333333,True
x2_core_baseline,replacement,{},mom_3m|mom_6m|mom_12m|vol_63d|high_52w|pb_ratio|roe_net_income_ttm|combined_ratio_ttm|monthly_combined_ratio_delta|pif_growth_yoy|gainshare_est|book_value_per_share_growth_yoy|buyback_yield|unrealized_gain_pct_equity|yield_slope|real_rate_10y|credit_spread_hy|vix|pgr_vs_peers_6m|pgr_vs_vfh_6m,Existing x2 conservative feature set.,6,logistic_l2_balanced,240,40,20,0.44491481246914194,0.4666666666666667,0.4921212121212122,0.6796116504854369,0.42424242424242425,0.6875,0.42916666666666664,1.9224338231008244,0.4921212121212122,0.44491481246914194,1.9224338231008244,0.4666666666666667,0.6796116504854369,0.42424242424242425,0.0,0.0,0.0,0.0,0.0,0.0,False
ta_minimal_replacement,replacement,"{""mom_12m"": ""ta_pgr_obv_detrended"", ""vol_63d"": ""ta_pgr_natr_63d""}",mom_3m|mom_6m|ta_pgr_obv_detrended|ta_pgr_natr_63d|high_52w|pb_ratio|roe_net_income_ttm|combined_ratio_ttm|monthly_combined_ratio_delta|pif_growth_yoy|gainshare_est|book_value_per_share_growth_yoy|buyback_yield|unrealized_gain_pct_equity|yield_slope|real_rate_10y|credit_spread_hy|vix|pgr_vs_peers_6m|pgr_vs_vfh_6m,v164 minimal OBV/NATR replacement candidate.,6,logistic_l2_balanced,240,40,20,0.42638994510069494,0.4875,0.5072727272727273,0.6944444444444444,0.45454545454545453,0.6875,0.45,1.8668837308415391,0.4921212121212122,0.44491481246914194,1.9224338231008244,0.4666666666666667,0.6796116504854369,0.42424242424242425,0.015151515152,-0.018524867368,-0.055550092259,0.020833333333,0.014832793959,0.030303030303,True
