benchmark,policy_name,threshold,classifier_model_type,regression_candidate,n_features,feature_set_key,feature_columns,regression_ic,regression_oos_r2,brier_score,accuracy,balanced_accuracy,precision,recall,base_rate,predicted_positive_rate,avg_hold_fraction,mean_policy_return,uplift_vs_sell_50,uplift_vs_regression_sign,experiment_mode,step,candidate_feature
VXUS,regression_sign,,ridge,ridge_lean_v1,1,mom_3m,mom_3m,0.41492087989558624,-0.026757702810232153,0.3599991908964725,0.32407407407407407,0.3930921052631579,0.5483870967741935,0.2236842105263158,0.7037037037037037,0.28703703703703703,0.7407407407407407,0.08464142323787795,0.04534418708739859,0.0,single_feature,1,mom_3m
VXUS,classifier_only,0.5,ridge,ridge_lean_v1,1,mom_3m,mom_3m,0.41492087989558624,-0.026757702810232153,0.3599991908964725,0.32407407407407407,0.3930921052631579,0.5483870967741935,0.2236842105263158,0.7037037037037037,0.28703703703703703,0.28703703703703703,0.0073468684414155164,-0.03195036770906386,-0.07729455479646243,single_feature,1,mom_3m
VXUS,hybrid_confirm,0.5,ridge,ridge_lean_v1,1,mom_3m,mom_3m,0.41492087989558624,-0.026757702810232153,0.3599991908964725,0.32407407407407407,0.3930921052631579,0.5483870967741935,0.2236842105263158,0.7037037037037037,0.28703703703703703,0.1574074074074074,-0.0004546074737836254,-0.039751843624263,-0.08509603071166157,single_feature,1,mom_3m
VXUS,classifier_only,0.55,ridge,ridge_lean_v1,1,mom_3m,mom_3m,0.41492087989558624,-0.026757702810232153,0.3599991908964725,0.32407407407407407,0.3930921052631579,0.5483870967741935,0.2236842105263158,0.7037037037037037,0.28703703703703703,0.07407407407407407,-0.005016292250066579,-0.04431352840054595,-0.08965771548794453,single_feature,1,mom_3m
VXUS,hybrid_confirm,0.55,ridge,ridge_lean_v1,1,mom_3m,mom_3m,0.41492087989558624,-0.026757702810232153,0.3599991908964725,0.32407407407407407,0.3930921052631579,0.5483870967741935,0.2236842105263158,0.7037037037037037,0.28703703703703703,0.07407407407407407,-0.005016292250066579,-0.04431352840054595,-0.08965771548794453,single_feature,1,mom_3m
VXUS,classifier_only,0.6,ridge,ridge_lean_v1,1,mom_3m,mom_3m,0.41492087989558624,-0.026757702810232153,0.3599991908964725,0.32407407407407407,0.3930921052631579,0.5483870967741935,0.2236842105263158,0.7037037037037037,0.28703703703703703,0.037037037037037035,-0.003524001442735158,-0.042821237593214524,-0.0881654246806131,single_feature,1,mom_3m
VXUS,hybrid_confirm,0.6,ridge,ridge_lean_v1,1,mom_3m,mom_3m,0.41492087989558624,-0.026757702810232153,0.3599991908964725,0.32407407407407407,0.3930921052631579,0.5483870967741935,0.2236842105263158,0.7037037037037037,0.28703703703703703,0.037037037037037035,-0.003524001442735158,-0.042821237593214524,-0.0881654246806131,single_feature,1,mom_3m
VEA,regression_sign,,ridge,ridge_lean_v1,1,mom_3m,mom_3m,0.317509222632117,0.038017631548993513,0.34209131925935043,0.42,0.4797979797979798,0.6304347826086957,0.29292929292929293,0.66,0.30666666666666664,0.8333333333333334,0.07226788186663813,0.03786559093115328,0.0,single_feature,1,mom_3m
VEA,classifier_only,0.5,ridge,ridge_lean_v1,1,mom_3m,mom_3m,0.317509222632117,0.038017631548993513,0.34209131925935043,0.42,0.4797979797979798,0.6304347826086957,0.29292929292929293,0.66,0.30666666666666664,0.30666666666666664,0.015214350020429326,-0.019187940915055535,-0.0570535318462088,single_feature,1,mom_3m
VEA,hybrid_confirm,0.5,ridge,ridge_lean_v1,1,mom_3m,mom_3m,0.317509222632117,0.038017631548993513,0.34209131925935043,0.42,0.4797979797979798,0.6304347826086957,0.29292929292929293,0.66,0.30666666666666664,0.22,0.0096787100934329,-0.02472358084205196,-0.06258917177320522,single_feature,1,mom_3m
