feature_name,category,replace_or_compete_with,definition,economic_rationale,expected_direction,likely_frequency,likely_source,implementation_difficulty,likely_signal_quality,why_it_might_outperform_existing_feature,key_risks,target_model,priority_rank,research_source,status,notes
ppi_auto_ins_yoy,shared_regime,vmt_yoy,Auto insurance PPI YoY,Insurance pricing cycle proxy,positive for PGR relative return,monthly,FRED,low,medium-high,Insurance native and already available,Industry level only,both,1,chatgpt,queued_available,Immediate repo-ready test
used_car_cpi_yoy,shared_regime,vmt_yoy,Used car CPI YoY,Claims severity proxy,negative for PGR relative return,monthly,FRED,low,medium,Direct physical damage inflation driver,Can be volatile,both,2,chatgpt;claude,queued_available,Pair with medical CPI later
medical_cpi_yoy,shared_regime,vmt_yoy,Medical CPI YoY,Bodily injury severity proxy,negative for PGR relative return,monthly,FRED,low,medium,Direct severity component already in matrix,May understate legal severity,both,3,chatgpt,queued_available,Pair with used car CPI later
cr_acceleration,PGR_specific,combined_ratio_ttm,Acceleration in combined ratio trend,Underwriting trend change is often priced faster than level,negative when accelerating upward,monthly,EDGAR derived,low,high,Repo-native proxy for report ideas,Can be noisy around cat events,ridge,4,gemini;claude,queued_available,Immediate stand-in for monthly combined ratio delta
pgr_vs_peers_6m,PGR_specific,mom_3m,PGR six month return minus peer basket,Relative industry momentum isolates PGR alpha,positive for PGR relative return,monthly,prices,low,high,More target aligned than raw short momentum,beta shifts can blur signal,both,5,claude,queued_available,Immediate repo-ready relative feature
unearned_premium_growth_yoy,PGR_specific,investment_income_growth_yoy,Unearned premium YoY growth,Forward revenue inventory signal,positive for PGR relative return,monthly,EDGAR derived,low,medium-high,Smoother leading signal than generic growth,Seasonality matters,ridge,6,chatgpt,queued_available,Already available but not in current winner
pif_growth_yoy,PGR_specific,npw_growth_yoy,Policies in force YoY growth,Unit growth and market share signal,positive for PGR relative return,monthly,EDGAR derived,low,medium,Direct business volume measure already available,Can be less useful without pricing context,ridge,7,gemini;claude,queued_available,Existing feature to retest in Ridge
rate_adequacy_gap_yoy,PGR_specific,vmt_yoy,Auto insurance PPI YoY minus severity index YoY,Pricing versus loss cost is core P and C mechanism,positive for PGR relative return,monthly,FRED,medium,high,Direct replacement for ambiguous exposure proxy,Weighting choices matter,both,8,chatgpt;claude,queued_engineer,Highest-priority new feature
severity_index_yoy,shared_regime,vmt_yoy,Average of used car and medical inflation YoY,Claims severity pressure indicator,negative for PGR relative return,monthly,FRED,low,medium-high,Causal severity signal versus generic macro,Proxy may be imperfect,both,9,chatgpt,queued_engineer,Build from existing CPI components
auto_pricing_power_spread,PGR_specific,vmt_yoy,Auto insurance PPI YoY minus auto insurance CPI YoY,Upstream versus retail pricing power spread,positive for PGR relative return,monthly,FRED,low,medium-high,Cleaner spread than single CPI or PPI series,Lag between pricing and earnings,both,10,geminipro,queued_engineer,Test against rate adequacy family
monthly_combined_ratio_delta,PGR_specific,combined_ratio_ttm,Monthly combined ratio relative to 96 target,Underwriting profitability versus management hurdle,negative when above target,monthly,EDGAR,low,high,More stationary than raw level,Target may shift over time,ridge,11,gemini,queued_engineer,Separate from acceleration concept
pif_growth_acceleration,PGR_specific,pif_growth_yoy,Short minus long PIF growth,Second derivative of unit growth,positive for PGR relative return,monthly,EDGAR,medium,medium-high,May lead premium growth better than level alone,Seasonality and noise,gbt,12,gemini,queued_engineer,Tree-friendly growth regime feature
npw_per_pif_yoy,PGR_specific,npw_growth_yoy,Net premiums written per policy YoY,Separates pricing power from count growth,positive for PGR relative return,monthly,EDGAR,medium,high,Improves on raw premium growth,Mix shifts can distort average premium,both,13,chatgpt;claude,queued_engineer,Strong consensus pricing decomposition
npw_vs_npe_spread_pct,PGR_specific,npw_growth_yoy,Written versus earned premium spread,Pipeline growth versus runoff signal,positive if profitable growth,monthly,EDGAR,medium,medium,Closer to insurer revenue mechanics than price momentum,Can mislead in underpriced growth,both,14,chatgpt;claude,queued_engineer,Use after npw per pif
underwriting_margin_ttm,PGR_specific,combined_ratio_ttm,Underwriting income over earned premium,Core insurance profitability ratio,positive for PGR relative return,monthly,EDGAR,medium,high,Ratio is cleaner than nominal dollars,Requires consistent historical derivation,ridge,15,chatgpt,queued_engineer,Strong Ridge candidate
reserve_to_npe_ratio,PGR_specific,credit_spread_hy,Loss reserves over earned premium,Reserve adequacy and earnings quality signal,negative if rising,monthly,EDGAR,medium,medium,Insurer-specific risk channel versus generic credit proxy,bad and growth effects can mix,both,16,chatgpt,queued_engineer,Lower priority than margin and pricing family
book_value_per_share_growth_yoy,PGR_specific,roe_net_income_ttm,Book value per share YoY growth,Insurance intrinsic value compounding signal,positive for PGR relative return,monthly,EDGAR,medium,medium-high,More comprehensive than buyback or nominal income,OCI effects can distort short-term moves,ridge,17,claude,queued_engineer,Strong balance-sheet candidate
duration_rate_shock_3m,shared_regime,real_rate_10y,Fixed income duration times 10Y yield change,Bond book and benchmark rate sensitivity,negative when duration and rates rise,monthly,EDGAR plus FRED,medium,high,More structural than raw curve shape,Interaction scaling matters,both,18,chatgpt,queued_engineer,High-value benchmark-aware feature
direct_channel_pif_share_ttm,PGR_specific,investment_income_growth_yoy,Direct channel share of policies in force,Structural margin moat from channel mix,positive for PGR relative return,monthly,EDGAR,medium,medium,Slow moat signal absent from current winner,Can move too slowly,ridge,19,claude,queued_engineer,Use if channel data is clean
channel_mix_direct_pct_yoy,PGR_specific,investment_income_growth_yoy,YoY change in direct channel mix,Channel shift acceleration signal,positive for PGR relative return,monthly,EDGAR,medium,medium,Potentially faster than level share,Historical consistency risk,ridge,20,chatgpt,queued_engineer,Variant of direct channel thesis
realized_gain_to_net_income_ratio,PGR_specific,investment_income_growth_yoy,Realized gains as share of net income,Earnings quality and repeatability proxy,negative when high,monthly,EDGAR,medium,medium,Quality dimension missing from current winner,Can blow up when income is small,ridge,21,chatgpt,queued_engineer,Secondary quality feature
